model,group_variable,group_value,MAE,RMSE,sample_count
Baseline,procedure_type,59,79.76785550236022,84.52826947394234,19
Baseline,procedure_type,64,79.01219483849437,83.3368572784788,24
Baseline,procedure_type,60,87.27996173849529,94.93342553573821,20
Baseline,procedure_type,43,62.37064173356058,63.98499253480799,12
Baseline,procedure_type,70,99.00245275795524,105.77034157085927,16
Baseline,procedure_type,66,84.32180745683519,88.11378897053797,25
Baseline,procedure_type,21,73.21579546145571,75.14573709076403,17
Baseline,procedure_type,71,122.17265807958314,132.1420352639724,22
Baseline,procedure_type,31,68.94091851456841,72.84144956848986,12
Baseline,procedure_type,19,74.14084505975234,76.57413506720908,16
Baseline,procedure_type,56,81.38174224123878,85.56971572692649,17
Baseline,procedure_type,48,85.88242248368026,98.76226627913138,18
Baseline,procedure_type,58,88.62806795748186,92.29710970173467,18
Baseline,procedure_type,65,106.26851793864309,119.42745093079631,27
Baseline,procedure_type,33,73.37897244800021,76.14880806537109,13
Baseline,procedure_type,51,85.40244261483375,93.99176512544616,13
Baseline,procedure_type,37,83.20962183270589,84.71596791066253,13
Baseline,procedure_type,68,88.96334985698803,94.84245469699002,23
Baseline,procedure_type,62,92.96570484938897,98.38419094210974,13
Baseline,procedure_type,69,85.1209771620186,91.22408583016843,21
Baseline,procedure_type,46,83.01121835441346,89.37729269506325,11
Baseline,procedure_type,54,85.36070601633787,87.7993995137645,14
Baseline,procedure_type,38,74.04349132904777,78.4099807843338,12
Baseline,procedure_type,61,82.10551460891092,85.65705782008588,20
Baseline,procedure_type,78,94.57644008425115,99.01098759429418,18
Baseline,procedure_type,47,77.97610696099285,84.84124337431055,13
Baseline,procedure_type,72,82.61166127382609,89.90211628266775,18
Baseline,procedure_type,29,66.42858053356086,69.42666771204155,13
Baseline,procedure_type,77,102.20993254329434,109.57129313862606,13
Baseline,procedure_type,67,87.234062809289,92.22699966307374,21
Baseline,procedure_type,76,82.43838304565526,86.21657585362901,13
Baseline,procedure_type,74,99.73305073359974,113.80606873570068,17
Baseline,procedure_type,42,73.35591652392387,77.1836530629322,16
Baseline,procedure_type,49,74.12483624888296,76.61701409896081,19
Baseline,procedure_type,63,90.90077144615636,98.59605951422559,30
Baseline,procedure_type,20,73.10937278889548,76.32269343346245,14
Baseline,procedure_type,28,80.80418843650922,85.13056544290116,11
Baseline,procedure_type,35,73.16172241290901,75.03723520185801,14
Baseline,procedure_type,50,80.5238477219141,84.15296236862532,14
Baseline,procedure_type,18,66.77641741223293,68.93281118982425,11
Baseline,procedure_type,30,75.5934985243956,76.9457749082456,12
Baseline,procedure_type,22,71.26515989626833,73.42181182762327,12
Baseline,procedure_type,53,85.40807885323642,89.75630353516424,11
Baseline,procedure_type,57,85.93346782310321,91.30933147035127,22
Baseline,procedure_type,40,125.3079693312388,137.70220066983288,23
Baseline,procedure_type,44,87.48630916605103,90.36949396317516,14
Baseline,procedure_type,55,77.93624149079486,83.1574032985156,21
Baseline,procedure_type,34,69.2732507850368,72.45749922361638,11
Baseline,procedure_type,27,71.94281374766982,80.73260016906845,11
Baseline,procedure_type,73,95.93129306548526,101.00343770166603,12
Baseline,procedure_type,79,83.67902246464138,93.11390238061283,11
Baseline,gender,1969-12-31 23:59:59.999999999,79.99765177549651,86.69049077196563,345
Baseline,gender,1970-01-01 00:00:00.000000002,89.07260974813019,95.12036570601056,139
Baseline,gender,1970-01-01 00:00:00.000000001,89.23569778009983,96.55918193104274,516
Baseline,age_group,31-50,90.72567854815836,97.73795999870431,596
Baseline,age_group,51-70,73.92392925898217,79.95901313198904,58
Baseline,weekday,Tuesday,87.46208444540352,95.89324584255218,239
Baseline,weekday,Thursday,91.01720141671734,97.23283652418293,161
Baseline,weekday,Sunday,83.52353220741998,90.40918396714106,300
Baseline,weekday,Monday,76.27049857162162,78.80732126733903,198
Baseline,weekday,Wednesday,102.0087318059964,112.25453656838505,97
MLP,procedure_type,59,79.94592372105264,84.70535753156096,19
MLP,procedure_type,64,79.13925585833333,83.46195403632703,24
MLP,procedure_type,60,87.50145453166667,95.11340006507609,20
MLP,procedure_type,43,62.589350766666676,64.2024618086184,12
MLP,procedure_type,70,99.18048004375001,105.95458635211732,16
MLP,procedure_type,66,84.44219612799999,88.22617651582058,25
MLP,procedure_type,21,73.3486876,75.2547965328897,17
MLP,procedure_type,71,122.27551850454543,132.2307583126689,22
MLP,procedure_type,31,69.14666771666667,72.99342465618403,12
MLP,procedure_type,19,74.37382342500001,76.82030796281295,16
MLP,procedure_type,56,81.59859384117647,85.74086813336704,17
MLP,procedure_type,48,86.05484344999999,98.89533175436989,18
MLP,procedure_type,58,88.83261318333334,92.51083394748827,18
MLP,procedure_type,65,106.48097847777778,119.60898729125738,27
MLP,procedure_type,33,73.44953735384615,76.22314156251375,13
MLP,procedure_type,51,85.49598716923077,94.0821599855041,13
MLP,procedure_type,37,83.45562700000002,84.97186694112288,13
MLP,procedure_type,68,89.13647067391302,95.00212757382403,23
MLP,procedure_type,62,93.22839816153845,98.65567600979915,13
MLP,procedure_type,69,85.30681592380952,91.38546600595949,21
MLP,procedure_type,46,83.2014849909091,89.53764173951132,11
MLP,procedure_type,54,85.42782771428573,87.85695527714891,14
MLP,procedure_type,38,74.14954520833335,78.50492554990208,12
MLP,procedure_type,61,82.28764429499999,85.83560892650267,20
MLP,procedure_type,78,94.75639847222223,99.20516961672745,18
MLP,procedure_type,47,78.1718616076923,85.02757328173762,13
MLP,procedure_type,72,82.79687362777777,90.07411558672577,18
MLP,procedure_type,29,66.68277873846155,69.6530135634208,13
MLP,procedure_type,77,102.35972938461538,109.70908883382054,13
MLP,procedure_type,67,87.35057970952383,92.33195130405507,21
MLP,procedure_type,76,82.68420655384615,86.48433403191848,13
MLP,procedure_type,74,99.87693143529411,113.93400278429557,17
MLP,procedure_type,42,73.4505801625,77.23140841642727,16
MLP,procedure_type,49,74.27945880526315,76.76088314740286,19
MLP,procedure_type,63,91.10133329666664,98.76359624268645,30
MLP,procedure_type,20,73.20182980714286,76.37591411490043,14
MLP,procedure_type,28,80.99115049090909,85.29935628987009,11
MLP,procedure_type,35,73.29294733571429,75.16306664930673,14
MLP,procedure_type,50,80.69233418571427,84.32034586264662,14
MLP,procedure_type,18,67.06765916363636,69.2028505797918,11
MLP,procedure_type,30,75.78989745,77.11556099324036,12
MLP,procedure_type,22,71.52469311666665,73.65425910304774,12
MLP,procedure_type,53,85.57603038181817,89.94127702440412,11
MLP,procedure_type,57,86.08480459545454,91.43606511077715,22
MLP,procedure_type,40,125.45342806956522,137.83219952435823,23
MLP,procedure_type,44,87.67585965714287,90.57824584118481,14
MLP,procedure_type,55,78.06221205714286,83.26519867092382,21
MLP,procedure_type,34,69.41601428181819,72.60119715994892,11
MLP,procedure_type,27,72.2000427,80.96863663038853,11
MLP,procedure_type,73,96.09757506666666,101.13378304626762,12
MLP,procedure_type,79,83.8930185181818,93.33663129178781,11
MLP,gender,1969-12-31 23:59:59.999999999,80.16221097855073,86.83893202814915,345
MLP,gender,1970-01-01 00:00:00.000000002,89.2695324971223,95.3013665407368,139
MLP,gender,1970-01-01 00:00:00.000000001,89.40358776925063,96.70546811708965,516
MLP,age_group,31-50,90.90201719972036,97.89308991247024,596
MLP,age_group,51-70,74.0677348224138,80.09001093489388,58
MLP,weekday,Tuesday,87.63342892175733,96.04597821650339,239
MLP,weekday,Thursday,91.16927023747412,97.37627553866625,161
MLP,weekday,Sunday,83.69114989833334,90.55438082441995,300
MLP,weekday,Monday,76.45770417424242,78.97745854035766,198
MLP,weekday,Wednesday,102.18168712061855,112.40893105394112,97
